"";"id";"screen name";"text"
"29";"UHJvcG9zYWw6NTAxODJlMGYtNDk5Ny0xMWU5LWJmNTYtZmExNjNlZWIxMWUx";"user_114803";"Je ne trouve pas qu'il y est du changement a faire a se niveau"
"30";"UHJvcG9zYWw6M2NiNDBmYmMtNDVhYy0xMWU5LWJmNTYtZmExNjNlZWIxMWUx";"user_95697";"Non réponse"
"31";"UHJvcG9zYWw6MTllYjgxNTEtNDY3Zi0xMWU5LWJmNTYtZmExNjNlZWIxMWUx";"user_100301";"Non réponse"
"32";"UHJvcG9zYWw6MDI4MDIyMDYtMjcxNS0xMWU5LTk0ZDItZmExNjNlZWIxMWUx";"user_32985";"Non réponse"
"33";"UHJvcG9zYWw6NTAwN2I5Y2MtNDI4My0xMWU5LWJmNTYtZmExNjNlZWIxMWUx";"user_80286";"Non réponse"
"34";"UHJvcG9zYWw6ZmI5MDg2MTgtM2FkNy0xMWU5LWJmNTYtZmExNjNlZWIxMWUx";"user_63864";"Non réponse"
"35";"UHJvcG9zYWw6ZTk3MWI2NDEtMWYyZS0xMWU5LTk0ZDItZmExNjNlZWIxMWUx";"user_9115";"Appliquer purement & simplement la Loi de 1905. La compléter  en rajoutant bien TOUTS les RELIGIONS sans exception aucune."
"36";"UHJvcG9zYWw6YTRiNjc0YWEtNDMzYi0xMWU5LWJmNTYtZmExNjNlZWIxMWUx";"user_83105";"la laïcité commence déjà par faire appliquer les lois existantes notamment en matière de répression de toutes les atteintes à ces principes"
"37";"UHJvcG9zYWw6MjU1MmUwZjUtMzA3NS0xMWU5LWJmNTYtZmExNjNlZWIxMWUx";"user_47952";"Non réponse"
"38";"UHJvcG9zYWw6OTA0MjMwNjItMzFjMy0xMWU5LWJmNTYtZmExNjNlZWIxMWUx";"user_49378";"Faire respecter la loi de 1905, interdire les financements étrangers (je pense aux financements des mosquées et leurs prédicateurs)"
"39";"UHJvcG9zYWw6MGFhMWVkMmEtMjM0Yi0xMWU5LTk0ZDItZmExNjNlZWIxMWUx";"user_25247";"L'état ne doit pas se mêler de religion sauf pour affirmer la loi pour tous."
"40";"UHJvcG9zYWw6OTc4ZTNkODYtNDk4Yi0xMWU5LWJmNTYtZmExNjNlZWIxMWUx";"user_114608";"Non réponse"
"41";"UHJvcG9zYWw6NTJjMWQ1MWQtNDY0OS0xMWU5LWJmNTYtZmExNjNlZWIxMWUx";"user_98590";"Appliquer les textes existants  de façon claire et compréhensible."
"42";"UHJvcG9zYWw6MzlmYWFiNTAtNDk1Zi0xMWU5LWJmNTYtZmExNjNlZWIxMWUx";"user_113969";"Revoir de près la loi qui autorise la manifestation de ses choix religieux dans l'espace public et les entreprises. Revoir la loi de financement des écoles privés et des lieux de culte. Si les personnes sont croyantes, cela les regarde, les athées n'ont pas à financer leurs établissements."
